model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
4,1,ok,2026-02-20T04:53:46.505293Z,2026-02-20T04:53:59.194612Z,12.689546875000815,1,1091,True,
1,1,ok,2026-02-20T04:53:46.506468Z,2026-02-20T04:54:02.658703Z,16.1525197499941,1,1161,True,
3,1,ok,2026-02-20T04:53:46.507916Z,2026-02-20T04:54:08.914572Z,22.4070601659987,2,2080,True,
2,1,ok,2026-02-20T04:53:46.508839Z,2026-02-20T04:54:09.094894Z,22.58643700000539,2,1947,True,
5,1,ok,2026-02-20T04:53:59.198656Z,2026-02-20T04:54:14.347459Z,15.149077375004708,1,1114,True,
6,1,ok,2026-02-20T04:54:02.665087Z,2026-02-20T04:54:19.950469Z,17.285697917002835,1,1510,True,
8,1,ok,2026-02-20T04:54:09.108756Z,2026-02-20T04:54:31.694917Z,22.58655262499815,1,1552,True,
7,1,ok,2026-02-20T04:54:08.921531Z,2026-02-20T04:54:40.792737Z,31.871747917000903,2,2847,True,
11,1,ok,2026-02-20T04:54:31.699302Z,2026-02-20T04:54:43.688829Z,11.989749125001254,1,943,True,
9,1,ok,2026-02-20T04:54:14.352529Z,2026-02-20T04:54:54.868204Z,40.51636829200288,1,2951,True,
14,1,ok,2026-02-20T04:54:54.874148Z,2026-02-20T04:55:34.015097Z,39.141614416002994,2,4617,True,
13,1,ok,2026-02-20T04:54:43.697449Z,2026-02-20T04:55:47.770935Z,64.07456825000554,2,5099,True,
10,1,ok,2026-02-20T04:54:19.967308Z,2026-02-20T04:55:55.350545Z,95.38482729200041,3,8836,True,
16,1,ok,2026-02-20T04:55:47.777627Z,2026-02-20T04:55:57.206564Z,9.429105834002257,1,816,True,
12,1,ok,2026-02-20T04:54:40.797467Z,2026-02-20T04:56:00.856675Z,80.0605932499966,2,6591,True,
15,1,ok,2026-02-20T04:55:34.021469Z,2026-02-20T04:56:05.844115Z,31.823197165998863,2,3041,True,
18,1,ok,2026-02-20T04:55:57.214793Z,2026-02-20T04:56:17.427353Z,20.21293033300026,2,2841,True,
17,1,ok,2026-02-20T04:55:55.358275Z,2026-02-20T04:56:25.036424Z,29.678662042002543,3,3548,True,
21,1,ok,2026-02-20T04:56:17.435133Z,2026-02-20T04:56:36.667912Z,19.233123792000697,2,2146,True,
22,1,ok,2026-02-20T04:56:25.111070Z,2026-02-20T04:56:37.397363Z,12.286500791997241,1,904,True,
19,1,ok,2026-02-20T04:56:00.880002Z,2026-02-20T04:56:39.384532Z,38.50524124999356,3,4800,True,
20,1,ok,2026-02-20T04:56:05.860892Z,2026-02-20T04:56:42.708514Z,36.848267207999015,2,3284,True,
23,1,ok,2026-02-20T04:56:36.679858Z,2026-02-20T04:56:55.767686Z,19.088168291003967,1,1220,True,
27,1,ok,2026-02-20T04:56:55.779686Z,2026-02-20T04:57:07.196636Z,11.417156999996223,1,934,True,
24,1,ok,2026-02-20T04:56:37.404745Z,2026-02-20T04:57:07.393301Z,29.989060708998295,2,3155,True,
26,1,ok,2026-02-20T04:56:42.715125Z,2026-02-20T04:57:07.617879Z,24.90334704200359,1,2096,True,
25,1,ok,2026-02-20T04:56:39.397888Z,2026-02-20T04:57:16.656046Z,37.25880545900145,2,3652,True,
28,1,ok,2026-02-20T04:57:07.207389Z,2026-02-20T04:57:20.317490Z,13.110348667003564,1,914,True,
30,1,ok,2026-02-20T04:57:07.631031Z,2026-02-20T04:57:24.483310Z,16.852981457996066,1,1283,True,
31,1,ok,2026-02-20T04:57:16.666740Z,2026-02-20T04:57:27.418158Z,10.751614333996258,1,923,True,
32,1,ok,2026-02-20T04:57:20.330029Z,2026-02-20T04:57:34.923003Z,14.593239292000362,1,1277,True,
34,1,ok,2026-02-20T04:57:27.460447Z,2026-02-20T04:57:43.701837Z,16.241682249994483,2,1775,True,
35,1,ok,2026-02-20T04:57:34.931593Z,2026-02-20T04:57:44.300464Z,9.369031166999775,2,1408,True,
29,1,ok,2026-02-20T04:57:07.401298Z,2026-02-20T04:57:45.521220Z,38.12056599999778,1,2749,True,
33,1,ok,2026-02-20T04:57:24.505301Z,2026-02-20T04:57:54.313729Z,29.8089387910004,2,3154,True,
36,1,ok,2026-02-20T04:57:43.711828Z,2026-02-20T04:58:02.764280Z,19.052792374997807,2,1827,True,
39,1,ok,2026-02-20T04:57:54.349302Z,2026-02-20T04:58:10.943358Z,16.594361083996773,2,1860,True,
38,1,ok,2026-02-20T04:57:45.529244Z,2026-02-20T04:58:11.086698Z,25.557887041999493,2,2256,True,
37,1,ok,2026-02-20T04:57:44.316095Z,2026-02-20T04:58:19.249928Z,34.93443004100118,2,3005,True,
40,1,ok,2026-02-20T04:58:02.785217Z,2026-02-20T04:58:32.824718Z,30.04002520799986,2,2496,True,
42,1,ok,2026-02-20T04:58:11.158069Z,2026-02-20T04:58:36.272660Z,25.115030583998305,2,1973,True,
41,1,ok,2026-02-20T04:58:10.975432Z,2026-02-20T04:58:37.848250Z,26.87328562499897,2,2438,True,
44,1,ok,2026-02-20T04:58:32.851043Z,2026-02-20T04:58:48.823383Z,15.972619666994433,1,1340,True,
47,1,ok,2026-02-20T04:58:48.831191Z,2026-02-20T04:58:58.914672Z,10.08366720900085,1,969,True,
43,1,ok,2026-02-20T04:58:19.502056Z,2026-02-20T04:59:01.470993Z,41.969648917001905,3,6195,True,
45,1,ok,2026-02-20T04:58:36.284428Z,2026-02-20T04:59:04.176712Z,27.8927744169996,2,2802,True,
46,1,ok,2026-02-20T04:58:37.860240Z,2026-02-20T04:59:04.272056Z,26.412260083001456,2,3403,True,
48,1,ok,2026-02-20T04:58:58.929271Z,2026-02-20T04:59:22.228813Z,23.29995970899472,1,1607,True,
49,1,ok,2026-02-20T04:59:01.502454Z,2026-02-20T04:59:28.851382Z,27.34943299999577,1,1925,True,
51,1,ok,2026-02-20T04:59:04.288581Z,2026-02-20T04:59:31.212473Z,26.92434804199729,1,1926,True,
50,1,ok,2026-02-20T04:59:04.198687Z,2026-02-20T04:59:31.712246Z,27.51413062500069,1,1942,True,
54,1,ok,2026-02-20T04:59:31.236212Z,2026-02-20T04:59:59.222093Z,27.9863692910003,2,3399,True,
53,1,ok,2026-02-20T04:59:28.860577Z,2026-02-20T05:00:02.725998Z,33.86596870900394,2,4241,True,
55,1,ok,2026-02-20T04:59:31.745814Z,2026-02-20T05:00:09.504485Z,37.75931337499787,4,5154,True,
57,1,ok,2026-02-20T05:00:02.738994Z,2026-02-20T05:00:13.153754Z,10.415118750002875,1,944,True,
59,1,ok,2026-02-20T05:00:13.162517Z,2026-02-20T05:00:27.449627Z,14.28737016699597,1,1119,True,
60,1,ok,2026-02-20T05:00:27.537975Z,2026-02-20T05:00:47.472165Z,19.934526458004257,2,2622,True,
61,1,ok,2026-02-20T05:00:47.482452Z,2026-02-20T05:00:54.726259Z,7.243935582999256,1,690,True,
58,1,ok,2026-02-20T05:00:09.528392Z,2026-02-20T05:01:00.353264Z,50.82631679200131,1,3522,True,
62,1,ok,2026-02-20T05:00:54.731609Z,2026-02-20T05:01:02.124581Z,7.393102000001818,1,757,True,
52,1,ok,2026-02-20T04:59:22.268968Z,2026-02-20T05:01:09.955616Z,107.68843883399677,4,12787,True,
64,1,ok,2026-02-20T05:01:02.143375Z,2026-02-20T05:01:14.500045Z,12.356896332996257,1,1089,True,
56,1,ok,2026-02-20T04:59:59.293148Z,2026-02-20T05:01:24.902454Z,85.6107273749949,2,6574,True,
63,1,ok,2026-02-20T05:01:00.377270Z,2026-02-20T05:01:29.659856Z,29.283081624998886,2,3009,True,
65,1,ok,2026-02-20T05:01:09.965228Z,2026-02-20T05:01:37.461141Z,27.49637833399902,1,2086,True,
66,1,ok,2026-02-20T05:01:14.506982Z,2026-02-20T05:01:38.884747Z,24.37817483300023,2,2557,True,
67,1,ok,2026-02-20T05:01:24.908473Z,2026-02-20T05:01:49.037530Z,24.129467832994123,2,2821,True,
68,1,ok,2026-02-20T05:01:29.668897Z,2026-02-20T05:01:49.733553Z,20.064996791996236,2,2297,True,
70,1,ok,2026-02-20T05:01:38.891427Z,2026-02-20T05:02:12.971131Z,34.08027483300248,3,3662,True,
72,1,ok,2026-02-20T05:01:49.738890Z,2026-02-20T05:02:16.895272Z,27.15684083299857,1,2143,True,
69,1,ok,2026-02-20T05:01:37.465967Z,2026-02-20T05:02:19.691303Z,42.226043665999896,2,4091,True,
74,1,ok,2026-02-20T05:02:16.900483Z,2026-02-20T05:02:32.886670Z,15.986460957996314,1,1047,True,
71,1,ok,2026-02-20T05:01:49.091101Z,2026-02-20T05:02:36.434562Z,47.34425008299877,2,5067,True,
75,1,ok,2026-02-20T05:02:19.699152Z,2026-02-20T05:02:39.858598Z,20.159786749994964,1,1534,True,
76,1,ok,2026-02-20T05:02:32.893466Z,2026-02-20T05:02:44.218402Z,11.325132749996556,1,941,True,
73,1,ok,2026-02-20T05:02:12.985428Z,2026-02-20T05:02:55.896426Z,42.91171120900253,1,3310,True,
77,1,ok,2026-02-20T05:02:36.443592Z,2026-02-20T05:03:02.645358Z,26.202210708004714,2,2905,True,
