model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
37,2,1,2026-02-20T15:13:58.674187Z,2026-02-20T15:14:45.242747Z,46.56865133300016,True,0,2721,2721
32,2,1,2026-02-20T15:13:58.670813Z,2026-02-20T15:14:26.383636Z,27.712633917006315,False,1,1706,1706
32,2,2,2026-02-20T15:14:26.383680Z,2026-02-20T15:14:53.548294Z,27.16471233399352,True,0,3033,4739
31,2,1,2026-02-20T15:13:58.683468Z,2026-02-20T15:15:03.280755Z,64.5974137079902,True,0,3585,3585
38,2,1,2026-02-20T15:13:58.673514Z,2026-02-20T15:14:40.403652Z,41.73021737499221,False,1,2402,2402
38,2,2,2026-02-20T15:14:40.403721Z,2026-02-20T15:15:06.448166Z,26.044527000005473,True,0,2059,4461
36,2,1,2026-02-20T15:13:58.671260Z,2026-02-20T15:15:11.020961Z,72.34982074999425,False,1,3988,3988
36,2,2,2026-02-20T15:15:11.021032Z,2026-02-20T15:15:33.045674Z,22.02470349999203,True,0,1746,5734
35,2,1,2026-02-20T15:13:58.670341Z,2026-02-20T15:14:39.516570Z,40.84629779100942,False,1,2378,2378
35,2,2,2026-02-20T15:14:39.516622Z,2026-02-20T15:15:35.958035Z,56.44153454199841,True,0,4092,6470
39,2,1,2026-02-20T15:14:46.791250Z,2026-02-20T15:15:19.337307Z,32.54616229199746,False,1,1958,1958
39,2,2,2026-02-20T15:15:19.337406Z,2026-02-20T15:15:48.808751Z,29.471428999997443,True,0,3261,5219
40,2,1,2026-02-20T15:14:54.892739Z,2026-02-20T15:15:54.724045Z,59.8314162500028,True,0,3227,3227
42,2,1,2026-02-20T15:15:07.556409Z,2026-02-20T15:16:22.935016Z,75.37873662500351,True,0,4093,4093
45,2,1,2026-02-20T15:15:49.843253Z,2026-02-20T15:16:33.260635Z,43.41748791700229,True,0,2466,2466
41,2,1,2026-02-20T15:15:04.716284Z,2026-02-20T15:15:57.911845Z,53.19566329200461,False,1,2802,2802
41,2,2,2026-02-20T15:15:57.911902Z,2026-02-20T15:16:19.953925Z,22.042098541991436,False,1,2843,5645
41,2,3,2026-02-20T15:16:19.953987Z,2026-02-20T15:16:46.377892Z,26.423982749998686,True,0,1973,7618
44,2,1,2026-02-20T15:15:36.765097Z,2026-02-20T15:16:21.520106Z,44.75513099999807,False,1,2529,2529
44,2,2,2026-02-20T15:16:21.520222Z,2026-02-20T15:16:48.125925Z,26.6057912499964,True,0,2870,5399
43,2,1,2026-02-20T15:15:34.092190Z,2026-02-20T15:16:42.402546Z,68.31049200000416,False,1,3776,3776
43,2,2,2026-02-20T15:16:42.402630Z,2026-02-20T15:17:01.014793Z,18.612242333998438,True,0,2626,6402
49,2,1,2026-02-20T15:16:47.363779Z,2026-02-20T15:17:21.095701Z,33.731997416995,True,0,2035,2035
50,2,1,2026-02-20T15:16:49.036021Z,2026-02-20T15:17:25.031429Z,35.995482042009826,True,0,2163,2163
34,2,1,2026-02-20T15:13:58.670908Z,2026-02-20T15:15:20.229765Z,81.55898020899622,False,1,4472,4472
34,2,2,2026-02-20T15:15:20.229825Z,2026-02-20T15:16:04.612421Z,44.38269849999051,False,1,3279,7751
34,2,3,2026-02-20T15:16:04.612478Z,2026-02-20T15:16:57.007234Z,52.39487600000575,False,1,3909,11660
34,2,4,2026-02-20T15:16:57.007300Z,2026-02-20T15:17:09.710186Z,12.702949916987563,False,1,1515,13175
34,2,5,2026-02-20T15:17:09.710249Z,2026-02-20T15:17:36.673977Z,26.963820958000724,True,0,2974,16149
53,2,1,2026-02-20T15:17:25.832589Z,2026-02-20T15:18:00.848760Z,35.01624116700259,False,1,2161,2161
53,2,2,2026-02-20T15:18:00.848826Z,2026-02-20T15:18:29.972203Z,29.12346470799821,True,0,3333,5494
54,2,1,2026-02-20T15:17:38.211384Z,2026-02-20T15:18:41.262710Z,63.05143554099777,True,0,3575,3575
48,2,1,2026-02-20T15:16:34.459644Z,2026-02-20T15:17:15.061144Z,40.60157783399336,False,1,2438,2438
48,2,2,2026-02-20T15:17:15.061208Z,2026-02-20T15:18:08.761794Z,53.70070004199806,False,1,4209,6647
48,2,3,2026-02-20T15:18:08.761855Z,2026-02-20T15:18:25.875496Z,17.113713916012784,False,1,2259,8906
48,2,4,2026-02-20T15:18:25.875565Z,2026-02-20T15:18:56.168552Z,30.29309279199515,True,0,2899,11805
33,2,1,2026-02-20T15:19:01.551613Z,2026-02-20T15:22:03.067309Z,46.57709404200432,True,0,3816,3816
51,2,1,2026-02-20T15:17:02.475285Z,2026-02-20T15:18:24.079631Z,81.60448508299305,False,1,4545,4545
51,2,2,2026-02-20T15:18:24.079696Z,2026-02-20T15:23:04.616605Z,145.59867504199792,True,0,3316,7861
47,2,1,2026-02-20T15:16:25.572491Z,2026-02-20T15:17:06.854066Z,41.28165624999383,False,1,2397,2397
47,2,2,2026-02-20T15:17:06.854126Z,2026-02-20T15:23:46.145438Z,264.35344437501044,True,0,5872,8269
46,2,1,2026-02-20T15:15:55.714957Z,2026-02-20T15:16:52.056220Z,56.34136616700562,False,1,3249,3249
46,2,2,2026-02-20T15:16:52.056279Z,2026-02-20T15:17:51.933847Z,59.87769587499497,False,1,4749,7998
46,2,3,2026-02-20T15:17:51.933910Z,2026-02-20T15:18:10.047853Z,18.114032792000216,False,1,2558,10556
46,2,4,2026-02-20T15:18:10.047931Z,2026-02-20T15:23:50.216095Z,205.23024466700736,True,0,5972,16528
57,2,1,2026-02-20T15:18:57.667882Z,2026-02-20T15:23:56.822082Z,164.2161888749979,True,0,2527,2527
58,2,1,2026-02-20T15:22:04.653644Z,2026-02-20T15:23:39.593422Z,94.94031141701271,False,1,5311,5311
58,2,2,2026-02-20T15:23:39.593490Z,2026-02-20T15:24:03.589184Z,23.99588837499323,True,0,3783,9094
60,2,1,2026-02-20T15:23:46.956014Z,2026-02-20T15:24:15.677901Z,28.722089791001054,True,0,1762,1762
59,2,1,2026-02-20T15:23:05.640494Z,2026-02-20T15:24:25.805353Z,80.16540587499912,True,0,4496,4496
55,2,1,2026-02-20T15:18:30.992971Z,2026-02-20T15:24:20.504181Z,214.573428083997,False,1,5205,5205
55,2,2,2026-02-20T15:24:20.504238Z,2026-02-20T15:25:12.338353Z,51.834493250004016,True,0,4252,9457
56,2,1,2026-02-20T15:18:43.292231Z,2026-02-20T15:23:55.766555Z,177.53635983300046,False,1,3176,3176
56,2,2,2026-02-20T15:23:55.766612Z,2026-02-20T15:25:19.618709Z,83.85268750000978,True,0,5480,8656
52,2,1,2026-02-20T15:25:05.402717Z,2026-02-20T15:26:09.339604Z,63.93733116700605,False,1,3644,3644
52,2,2,2026-02-20T15:26:09.339662Z,2026-02-20T15:27:05.783797Z,56.444543958001304,True,0,4717,8361
68,3,1,2026-02-20T15:27:07.628877Z,2026-02-20T15:27:44.149380Z,36.52076612500241,True,0,2117,2117
65,3,1,2026-02-20T15:27:07.098311Z,2026-02-20T15:27:45.733907Z,38.635886000003666,True,0,2257,2257
61,3,1,2026-02-20T15:27:07.654947Z,2026-02-20T15:27:48.538148Z,40.88348274999589,True,0,2444,2444
64,3,1,2026-02-20T15:27:07.603942Z,2026-02-20T15:27:52.734268Z,45.13063783400867,True,0,2631,2631
62,3,1,2026-02-20T15:27:07.487852Z,2026-02-20T15:27:58.792580Z,51.30506137499469,True,0,2856,2856
67,3,1,2026-02-20T15:27:07.474947Z,2026-02-20T15:27:59.655448Z,52.18086975000915,True,0,3009,3009
66,3,1,2026-02-20T15:27:07.537958Z,2026-02-20T15:28:01.880363Z,54.342762250002124,True,0,3147,3147
63,3,1,2026-02-20T15:27:07.515301Z,2026-02-20T15:28:20.621790Z,73.10699354100507,True,0,4082,4082
75,3,1,2026-02-20T15:28:02.667287Z,2026-02-20T15:28:24.058913Z,21.39179475000128,True,0,1365,1365
72,3,1,2026-02-20T15:27:53.692230Z,2026-02-20T15:28:27.389652Z,33.69766766700195,True,0,2134,2134
71,3,1,2026-02-20T15:27:49.266661Z,2026-02-20T15:28:50.230717Z,60.96449433299131,True,0,3495,3495
70,3,1,2026-02-20T15:27:46.499232Z,2026-02-20T15:28:30.566210Z,44.0672830830008,False,1,2550,2550
70,3,2,2026-02-20T15:28:30.566256Z,2026-02-20T15:29:19.829717Z,49.26382416600245,True,0,3201,5751
73,3,1,2026-02-20T15:27:59.728187Z,2026-02-20T15:28:37.636598Z,37.90864662500098,False,1,2248,2248
73,3,2,2026-02-20T15:28:37.636652Z,2026-02-20T15:28:54.271283Z,16.63477074999537,False,1,1927,4175
73,3,3,2026-02-20T15:28:54.271324Z,2026-02-20T15:29:04.860916Z,10.589691083994694,False,1,1370,5545
