model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
4,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/4/4.sysml already exists with successful manifest
7,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/7/7.sysml already exists with successful manifest
1,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/1/1.sysml already exists with successful manifest
3,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/3/3.sysml already exists with successful manifest
6,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/6/6.sysml already exists with successful manifest
5,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/5/5.sysml already exists with successful manifest
2,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/2/2.sysml already exists with successful manifest
8,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/8/8.sysml already exists with successful manifest
9,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/9/9.sysml already exists with successful manifest
11,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/11/11.sysml already exists with successful manifest
14,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/14/14.sysml already exists with successful manifest
10,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/10/10.sysml already exists with successful manifest
12,1,skipped,,,,,,,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/12/12.sysml already exists with successful manifest
