model_id,batch_index,status,loop_start_utc,loop_end_utc,loop_duration_seconds,iterations_completed,tokens_used_total,final_iteration_success,reason
3,1,ok,2026-02-20T16:01:52.486534Z,2026-02-20T16:01:56.864806Z,4.378203792002751,1,478,True,
2,1,ok,2026-02-20T16:01:52.482764Z,2026-02-20T16:01:57.071095Z,4.588247042003786,1,503,True,
1,1,ok,2026-02-20T16:01:52.484169Z,2026-02-20T16:01:58.522900Z,6.038622916996246,1,517,True,
4,1,ok,2026-02-20T16:01:52.485714Z,2026-02-20T16:02:00.452118Z,7.966260750006768,2,2179,True,
5,1,ok,2026-02-20T16:01:56.869707Z,2026-02-20T16:02:01.158501Z,4.288718833995517,1,424,True,
6,1,ok,2026-02-20T16:01:57.079338Z,2026-02-20T16:02:04.605773Z,7.526310250003007,1,828,True,
8,1,ok,2026-02-20T16:02:00.461404Z,2026-02-20T16:02:07.201975Z,6.740468250005506,1,556,True,
10,1,ok,2026-02-20T16:02:04.613393Z,2026-02-20T16:02:14.978934Z,10.365357999995467,2,1516,True,
11,1,ok,2026-02-20T16:02:07.214040Z,2026-02-20T16:02:17.300397Z,10.086189334004303,2,1590,True,
7,1,ok,2026-02-20T16:02:12.642992Z,2026-02-20T16:02:20.042120Z,7.399007708998397,2,2401,True,
12,1,ok,2026-02-20T16:02:15.011519Z,2026-02-20T16:02:20.752075Z,5.740452333004214,1,627,True,
14,1,ok,2026-02-20T16:02:20.048667Z,2026-02-20T16:02:28.887319Z,8.838499875011621,2,1812,True,
13,1,ok,2026-02-20T16:02:17.310108Z,2026-02-20T16:02:30.041859Z,12.731539166998118,2,2321,True,
15,1,ok,2026-02-20T16:02:20.756652Z,2026-02-20T16:02:32.478268Z,11.721410749989445,2,2827,True,
16,1,ok,2026-02-20T16:02:28.892309Z,2026-02-20T16:02:37.555408Z,8.662959249995765,2,1593,True,
17,1,ok,2026-02-20T16:02:30.067979Z,2026-02-20T16:02:40.525298Z,10.457128708003438,2,1584,True,
18,1,ok,2026-02-20T16:02:32.486456Z,2026-02-20T16:02:43.192675Z,10.706053875008365,2,1617,True,
19,1,ok,2026-02-20T16:02:37.569021Z,2026-02-20T16:02:47.316384Z,9.747198792014387,2,1415,True,
20,1,ok,2026-02-20T16:02:40.538798Z,2026-02-20T16:02:48.014865Z,7.475932250003098,1,639,True,
22,1,ok,2026-02-20T16:02:47.329776Z,2026-02-20T16:02:52.723207Z,5.3933483340078965,1,544,True,
21,1,ok,2026-02-20T16:02:43.217163Z,2026-02-20T16:02:53.999786Z,10.782428625010652,2,1581,True,
23,1,ok,2026-02-20T16:02:48.023018Z,2026-02-20T16:03:01.477627Z,13.454387749996386,2,1471,True,
24,1,ok,2026-02-20T16:02:52.727917Z,2026-02-20T16:03:03.402383Z,10.674302457991871,1,605,True,
25,1,ok,2026-02-20T16:02:54.008213Z,2026-02-20T16:03:04.195835Z,10.187432250007987,1,728,True,
26,1,ok,2026-02-20T16:03:01.485335Z,2026-02-20T16:03:08.273652Z,6.7882176249986514,1,669,True,
28,1,ok,2026-02-20T16:03:04.211625Z,2026-02-20T16:03:13.294986Z,9.083216416009236,2,1455,True,
29,1,ok,2026-02-20T16:03:08.282977Z,2026-02-20T16:03:15.974386Z,7.691276208992349,1,640,True,
30,1,ok,2026-02-20T16:03:13.300992Z,2026-02-20T16:03:19.821526Z,6.520430459000636,1,565,True,
27,1,ok,2026-02-20T16:03:25.285585Z,2026-02-20T16:03:35.435367Z,10.149614542009658,2,1533,True,
9,1,ok,2026-02-20T16:04:36.167918Z,2026-02-20T16:05:01.823058Z,25.654686083988054,5,10034,True,
33,2,ok,2026-02-20T16:05:01.849415Z,2026-02-20T16:05:07.113178Z,5.263680874995771,1,508,True,
