model_id,batch_index,iteration,iteration_start,iteration_end,iteration_duration_seconds,success,return_code,tokens_used_this_iter_total,tokens_used_total
4,1,1,2026-02-20T04:53:47.363330Z,2026-02-20T04:53:59.079773Z,11.716747499995108,True,0,1091,1091
1,1,1,2026-02-20T04:53:47.328453Z,2026-02-20T04:54:02.369181Z,15.041032125001948,True,0,1161,1161
3,1,1,2026-02-20T04:53:47.363128Z,2026-02-20T04:53:59.079829Z,11.71694566700171,False,1,951,951
3,1,2,2026-02-20T04:53:59.079916Z,2026-02-20T04:54:08.709870Z,9.630196749996685,True,0,1129,2080
2,1,1,2026-02-20T04:53:47.362644Z,2026-02-20T04:54:00.682865Z,13.320488582998223,False,1,1009,1009
2,1,2,2026-02-20T04:54:00.682948Z,2026-02-20T04:54:08.800407Z,8.117665290999867,True,0,938,1947
5,1,1,2026-02-20T04:53:59.819889Z,2026-02-20T04:54:14.113853Z,14.29424950000248,True,0,1114,1114
6,1,1,2026-02-20T04:54:03.999742Z,2026-02-20T04:54:19.748964Z,15.74952150000172,True,0,1510,1510
8,1,1,2026-02-20T04:54:09.850109Z,2026-02-20T04:54:31.567972Z,21.718268207994697,True,0,1552,1552
7,1,1,2026-02-20T04:54:09.741371Z,2026-02-20T04:54:33.448273Z,23.707326750001812,False,1,1637,1637
7,1,2,2026-02-20T04:54:33.448342Z,2026-02-20T04:54:40.707009Z,7.258824916003505,True,0,1210,2847
11,1,1,2026-02-20T04:54:32.382428Z,2026-02-20T04:54:43.515976Z,11.133783499994024,True,0,943,943
9,1,1,2026-02-20T04:54:15.227471Z,2026-02-20T04:54:54.694021Z,39.467229957997915,True,0,2951,2951
14,1,1,2026-02-20T04:54:55.563138Z,2026-02-20T04:55:27.941760Z,32.37918308400549,False,1,2416,2416
14,1,2,2026-02-20T04:55:27.941815Z,2026-02-20T04:55:33.925430Z,5.983750334002252,True,0,2201,4617
13,1,1,2026-02-20T04:54:45.440350Z,2026-02-20T04:55:36.176440Z,50.73696049999853,False,1,3369,3369
13,1,2,2026-02-20T04:55:36.176517Z,2026-02-20T04:55:47.685598Z,11.509313750000729,True,0,1730,5099
10,1,1,2026-02-20T04:54:21.199951Z,2026-02-20T04:55:23.060042Z,61.86114012500184,False,1,4206,4206
10,1,2,2026-02-20T04:55:23.060121Z,2026-02-20T04:55:30.682916Z,7.622988041999633,False,1,2189,6395
10,1,3,2026-02-20T04:55:30.683006Z,2026-02-20T04:55:55.199119Z,24.5165702910017,True,0,2441,8836
16,1,1,2026-02-20T04:55:48.429107Z,2026-02-20T04:55:56.925150Z,8.496233417004987,True,0,816,816
12,1,1,2026-02-20T04:54:41.588525Z,2026-02-20T04:55:43.127509Z,61.54003341700445,False,1,4509,4509
12,1,2,2026-02-20T04:55:43.127584Z,2026-02-20T04:56:00.719008Z,17.591788875004568,True,0,2082,6591
15,1,1,2026-02-20T04:55:34.614511Z,2026-02-20T04:55:52.252150Z,17.637960583000677,False,1,1268,1268
15,1,2,2026-02-20T04:55:52.252214Z,2026-02-20T04:56:05.485461Z,13.233525499999814,True,0,1773,3041
18,1,1,2026-02-20T04:55:58.357008Z,2026-02-20T04:56:11.085279Z,12.728479124998557,False,1,1219,1219
18,1,2,2026-02-20T04:56:11.085348Z,2026-02-20T04:56:17.167274Z,6.082146458997158,True,0,1622,2841
17,1,1,2026-02-20T04:55:55.982002Z,2026-02-20T04:56:05.685435Z,9.703630832998897,False,1,884,884
17,1,2,2026-02-20T04:56:05.685507Z,2026-02-20T04:56:13.580218Z,7.894926624998334,False,1,1250,2134
17,1,3,2026-02-20T04:56:13.580315Z,2026-02-20T04:56:24.796482Z,11.216422290999617,True,0,1414,3548
21,1,1,2026-02-20T04:56:18.653668Z,2026-02-20T04:56:30.820931Z,12.167483833000006,False,1,992,992
21,1,2,2026-02-20T04:56:30.821002Z,2026-02-20T04:56:36.523594Z,5.702743165995344,True,0,1154,2146
22,1,1,2026-02-20T04:56:27.017665Z,2026-02-20T04:56:37.128159Z,10.110681250000198,True,0,904,904
19,1,1,2026-02-20T04:56:01.868281Z,2026-02-20T04:56:15.229709Z,13.361674082996615,False,1,1277,1277
19,1,2,2026-02-20T04:56:15.229773Z,2026-02-20T04:56:25.089982Z,9.860430332999385,False,1,1406,2683
19,1,3,2026-02-20T04:56:25.090060Z,2026-02-20T04:56:38.945040Z,13.855279000003065,True,0,2117,4800
20,1,1,2026-02-20T04:56:06.831586Z,2026-02-20T04:56:32.578545Z,25.747403666995524,False,1,1837,1837
20,1,2,2026-02-20T04:56:32.578607Z,2026-02-20T04:56:42.370202Z,9.791928082995582,True,0,1447,3284
23,1,1,2026-02-20T04:56:38.391308Z,2026-02-20T04:56:55.613201Z,17.22220833400206,True,0,1220,1220
27,1,1,2026-02-20T04:56:56.982302Z,2026-02-20T04:57:06.986624Z,10.004527500001132,True,0,934,934
24,1,1,2026-02-20T04:56:38.966558Z,2026-02-20T04:56:55.612018Z,16.645942540999386,False,1,1367,1367
24,1,2,2026-02-20T04:56:55.612444Z,2026-02-20T04:57:07.127083Z,11.514893250001478,True,0,1788,3155
26,1,1,2026-02-20T04:56:43.530802Z,2026-02-20T04:57:07.319896Z,23.7895272090027,True,0,2096,2096
25,1,1,2026-02-20T04:56:40.205744Z,2026-02-20T04:57:05.935944Z,25.730685708003875,False,1,2041,2041
25,1,2,2026-02-20T04:57:05.936100Z,2026-02-20T04:57:16.375150Z,10.439278040998033,True,0,1611,3652
28,1,1,2026-02-20T04:57:08.873838Z,2026-02-20T04:57:20.057186Z,11.183538249999401,True,0,914,914
30,1,1,2026-02-20T04:57:09.003202Z,2026-02-20T04:57:23.361495Z,14.35856412499561,True,0,1283,1283
31,1,1,2026-02-20T04:57:17.573383Z,2026-02-20T04:57:27.323198Z,9.75002824999683,True,0,923,923
32,1,1,2026-02-20T04:57:21.056649Z,2026-02-20T04:57:34.777667Z,13.721277040996938,True,0,1277,1277
34,1,1,2026-02-20T04:57:28.304615Z,2026-02-20T04:57:40.596264Z,12.291867708001519,False,1,1079,1079
34,1,2,2026-02-20T04:57:40.596311Z,2026-02-20T04:57:43.427791Z,2.8315701250030543,True,0,696,1775
35,1,1,2026-02-20T04:57:35.815744Z,2026-02-20T04:57:39.238906Z,3.423240749994875,False,1,539,539
35,1,2,2026-02-20T04:57:39.238960Z,2026-02-20T04:57:44.014141Z,4.775347624999995,True,0,869,1408
29,1,1,2026-02-20T04:57:08.881375Z,2026-02-20T04:57:44.926790Z,36.04603541599499,True,0,2749,2749
33,1,1,2026-02-20T04:57:24.939091Z,2026-02-20T04:57:45.402889Z,20.463869708997663,False,1,1736,1736
33,1,2,2026-02-20T04:57:45.403002Z,2026-02-20T04:57:53.555368Z,8.152553208994505,True,0,1418,3154
