provider,prompt_id,manifest_path,run_dir,first_iteration_path,antlr_ok,syside_ok,paired_label,antlr_exit_code,syside_exit_code,resolve_error,antlr_output,syside_output
Generated_from_Prompts_API_LOOP_ANTHROPIC,63,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/63_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml:24:23: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'actualMass' shadows VehicleMassBudget::Chassis::actualMass
│   24 |             attribute actualMass : Real = 800.0;
│      |                       [38;2;204;204;057m^^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml:7:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/63/refine_runs/20260220-091735/iteration_01.sysml:23:24: [38;2;255;255;255mnote[0m: Because VehicleMassBudget::Chassis is specialized through FeatureTyping

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop"
Generated_from_Prompts_API_LOOP_ANTHROPIC,100,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/100_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml:27:28: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   27 |         attribute :>> mass = 1750;
│      |                            [38;2;220;080;080m^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml:21:31: [38;2;255;255;255mnote[0m: Redefined binding feature value here

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/100/refine_runs/20260220-092307/iteration_01.sysml:45:28: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   45 |         attribute :>> mass = 2000;
│      |                            [38;2;220;080;080m^^^^^^["
Generated_from_Prompts_API_LOOP_ANTHROPIC,124,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/124_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml:38:34: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   38 |         attribute redefines mass = 2500.0;
│      |                                  [38;2;220;080;080m^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml:32:31: [38;2;255;255;255mnote[0m: Redefined binding feature value here

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/124/refine_runs/20260220-092707/iteration_01.sysml:40:38: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   40 |             attribute redefines mass = 150.0;
│      |                            "
Generated_from_Prompts_API_LOOP_ANTHROPIC,137,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/137_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml:35:37: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   35 |         attribute redefines mass_kg = 1200.0;
│      |                                     [38;2;220;080;080m^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml:27:34: [38;2;255;255;255mnote[0m: Redefined binding feature value here

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/137/refine_runs/20260220-094037/iteration_01.sysml:36:38: [38;2;220;080;080merror[0m (feature-value-overriding): Cannot override a binding feature value
│   36 |         attribute redefines length_m = 4.82;
│      |                       "
Generated_from_Prompts_API_LOOP_ANTHROPIC,146,api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/146_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml:64:14: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'recorder' shadows TrajectoryRecordingSystem::SpacecraftAscentSystem::recorder
│   64 |         part recorder : AscentTrajectoryRecorder {
│      |              [38;2;204;204;057m^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml:60:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_ANTHROPIC/146/refine_runs/20260220-094132/iteration_01.sysml:63:25: [38;2;255;255;255mnote[0m: Because TrajectoryRecordingSystem::SpacecraftAscentSystem is specialized through FeatureTyping

/Users/chancelavoie/Desktop/"
Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER,55,api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/55_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830/iteration_01.sysml:26:17: [38;2;220;080;080merror[0m (invocation-expression-instantiated-type): Invocation expression must invoke a `Behavior` or a feature typed by a single `Behavior`
    26 |                 sum(components->select(c|c.mass >= massThreshold).mass) +
       |                 [38;2;220;080;080m^^^[0m

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/55/refine_runs/20260220-101830/iteration_01.sysml:26:33: [38;2;220;080;080merror[0m (invocation-expression-instantiated-type): Invocation expression must invoke a `Behavior` or a feature typed by a single `Behavior`
    26 |                 sum(components->select(c|c.mass >= massThreshold).mass) +
       |                                 [38;2;220;080;080m^^^^^^[0m

/Users/chancelavoie/Desk"
Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER,56,api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/56_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml:10:19: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'simpleMass' shadows MassAggregation::Thing::simpleMass
│   10 |         attribute simpleMass : Real = 0;
│      |                   [38;2;204;204;057m^^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml:5:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/56/refine_runs/20260220-101842/iteration_01.sysml:9:29: [38;2;255;255;255mnote[0m: Because MassAggregation::Thing is specialized through Subclassification

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_C"
Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER,85,api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/85_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml:23:36: [38;2;220;080;080merror[0m (reference-error): No Type named 'string' found.
    23 |         attribute safetyFunction : string = ""occupant restraint"";
       |                                    [38;2;220;080;080m^^^^^^[0m

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml:24:38: [38;2;220;080;080merror[0m (reference-error): No Type named 'string' found.
    24 |         attribute securityFunction : string = ""none"";
       |                                      [38;2;220;080;080m^^^^^^[0m

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/85/refine_runs/20260220-103041/iteration_01.sysml:28:36: [38;2;2"
Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER,100,api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/100_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml:25:19: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'mass' shadows VehicleVariants::Vehicle::mass
│   25 |         attribute mass : kg = 2000;
│      |                   [38;2;204;204;057m^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml:19:19: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/100/refine_runs/20260220-103438/iteration_01.sysml:24:29: [38;2;255;255;255mnote[0m: Because VehicleVariants::Vehicle is specialized through Subclassification

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Lo"
Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER,115,api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/115_refine_manifest.json,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721,/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml,True,False,antlr_only_pass,0,1,,ANTLR_PARSE_PASS[hamr_full] /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml,"SYSIDE_COMPILE_FAIL /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml

/Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml:38:18: [38;2;204;204;057mwarning[0m (namespace-distinguishability): Member name 'subsystemA' shadows AutomotiveConfiguration::Automobile::subsystemA
│   38 |             part subsystemA :> SubsystemA_Config1;
│      |                  [38;2;204;204;057m^^^^^^^^^^[0m
└── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml:32:14: [38;2;255;255;255mnote[0m: Inherited from here
    └── /Users/chancelavoie/Desktop/AI_AGENT_Benchmarking_Compiler_in_Loop/api_loop/Generated_from_Prompts_API_LOOP_DEEPSEEK_REASONER/115/refine_runs/20260220-103721/iteration_01.sysml:37:27: [38;2;255;255;255mnote[0m: Because AutomotiveConfiguration::Automobile is specialized through FeatureTyping

/Users/chancel"
