model_label,grammar,n_prompts,first_shot_pass_rate,eventual_pass_rate,unresolved_rate,first_failed_then_recovered_rate,mean_first_iteration_error_count,mean_total_error_count_across_iterations,mean_iterations_run,mean_iterations_to_success,median_iterations_to_success
Anthropic Claude Sonnet 4.6,Action,2,50.0,100.0,0.0,50.0,0.5,1.0,2.0,2.0,2.0
Anthropic Claude Sonnet 4.6,Action Definition,4,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Analysis,3,66.66666666666666,100.0,0.0,33.33333333333333,0.0,0.0,1.6666666666666667,1.6666666666666667,1.0
Anthropic Claude Sonnet 4.6,Analysis and Trade,4,75.0,100.0,0.0,25.0,0.25,0.25,1.25,1.25,1.0
Anthropic Claude Sonnet 4.6,Assignment Action,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Attribute,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Binding Connector,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Calculation,3,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Conditional Succession,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Connection,1,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Constraint,7,71.42857142857143,100.0,0.0,28.57142857142857,0.8571428571428571,0.8571428571428571,1.2857142857142858,1.2857142857142858,1.0
Anthropic Claude Sonnet 4.6,Control Structure,5,80.0,100.0,0.0,20.0,0.2,0.2,1.2,1.2,1.0
Anthropic Claude Sonnet 4.6,Dependency,4,75.0,100.0,0.0,25.0,0.25,0.25,1.25,1.25,1.0
Anthropic Claude Sonnet 4.6,Enumeration,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Expression,18,77.77777777777779,100.0,0.0,22.22222222222222,0.5555555555555556,0.5555555555555556,1.2222222222222223,1.2222222222222223,1.0
Anthropic Claude Sonnet 4.6,Filtering,2,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Anthropic Claude Sonnet 4.6,Flow Connection,3,66.66666666666666,100.0,0.0,33.33333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0
Anthropic Claude Sonnet 4.6,Function-based Behavior,8,100.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
