model_label,family,episodes,mean_iterations_to_repair,median_iterations_to_repair,mean_elapsed_sec_to_repair
Anthropic Claude Sonnet 4.6,feature-value-overriding,3,1.0,1.0,16.739244139336126
Anthropic Claude Sonnet 4.6,parsing-error,22,1.2272727272727273,1.0,71.13128270077405
Anthropic Claude Sonnet 4.6,reference-error,4,1.0,1.0,81.29720162500598
DeepSeek Reasoner,connector-related-features,3,2.3333333333333335,3.0,262.3025082366706
DeepSeek Reasoner,feature-chaining-feature-not-one,7,1.2857142857142858,1.0,150.2029980714308
DeepSeek Reasoner,invocation-expression-instantiated-type,3,1.0,1.0,242.1655309583342
DeepSeek Reasoner,parsing-error,81,1.5679012345679013,1.0,108.15276996511122
DeepSeek Reasoner,reference-error,50,1.32,1.0,105.1941222575202
Mistral Large,feature-reference-expression-referent-is-feature,4,1.25,1.0,11.652596729247307
Mistral Large,invocation-expression-instantiated-type,7,1.1428571428571428,1.0,12.187665118856655
Mistral Large,parameter-membership-owning-type,6,1.3333333333333333,1.0,13.429262631664946
Mistral Large,parsing-error,85,1.5176470588235293,1.0,14.13809535055274
Mistral Large,reference-error,51,1.5294117647058822,1.0,14.15337874674479
Mistral Large,type-error,9,1.1111111111111112,1.0,13.11060561133652
OpenAI,feature-chaining-feature-not-one,6,1.1666666666666667,1.0,29.863617298503716
OpenAI,import-explicit-visibility,3,1.0,1.0,21.888232707996696
OpenAI,parsing-error,59,1.1864406779661016,1.0,37.906085047932045
OpenAI,port-definition-owned-usages-not-composite,28,1.2142857142857142,1.0,36.04826048953483
OpenAI,reference-error,40,1.075,1.0,33.71280225724986
