model_label,persistence_mode,episodes,model_total,share_within_model_pct
Anthropic Claude Sonnet 4.6,same_exact_error_recurs,4,4,100.0
DeepSeek Reasoner,family_only_churn,2,45,4.444444444444445
DeepSeek Reasoner,same_error_template_recurs,6,45,13.333333333333334
DeepSeek Reasoner,same_exact_error_recurs,37,45,82.22222222222223
Mistral Large,family_only_churn,6,57,10.526315789473685
Mistral Large,same_error_template_recurs,1,57,1.7543859649122806
Mistral Large,same_exact_error_recurs,50,57,87.71929824561404
OpenAI,family_only_churn,1,19,5.2631578947368425
OpenAI,same_error_template_recurs,3,19,15.789473684210526
OpenAI,same_exact_error_recurs,15,19,78.94736842105263
