family,episodes,total_extra_iterations,mean_iterations_to_repair,median_iterations_to_repair,p90_iterations_to_repair,total_repair_sec,mean_repair_sec,persistent_episodes,exact_recurrence_rate_persist,template_recurrence_rate_persist,churn_rate_persist,share_extra_iterations_pct,share_repair_time_pct,priority_score
parsing-error,247,353,1.4291497975708503,1.0,2.4000000000000057,13763.459709216011,55.722508944194374,71,0.7887323943661971,0.9154929577464789,0.08450704225352113,52.064896755162245,50.40305618465491,56.928013120301536
reference-error,145,191,1.3172413793103448,1.0,2.0,7655.229325750013,52.794685005172504,35,0.9142857142857143,0.9428571428571428,0.05714285714285714,28.171091445427727,28.034154345206733,40.78150631199017
port-definition-owned-usages-not-composite,29,35,1.206896551724138,1.0,2.0,1024.1280335399642,35.31475977724015,6,1.0,1.0,0.0,5.162241887905605,3.750451115153173,23.706256278498756
feature-chaining-feature-not-one,15,19,1.2666666666666666,1.0,2.0,1260.847614709026,84.05650764726839,3,1.0,1.0,0.0,2.8023598820059,4.617340008044176,22.786381943416202
invocation-expression-instantiated-type,11,12,1.0909090909090908,1.0,1.0,895.8242782480083,81.43857074981894,1,1.0,1.0,0.0,1.7699115044247788,3.280590954749432,21.86913303863722
connector-related-features,4,8,2.0,2.0,3.0,818.5497321690054,204.63743304225136,2,1.0,1.0,0.0,1.1799410029498525,2.997604454991985,21.48925183797252
feature-reference-expression-referent-is-feature,8,9,1.125,1.0,1.2999999999999998,397.0557087920097,49.63196359900121,1,1.0,1.0,0.0,1.3274336283185841,1.454054548892315,21.099933178826987
parameter-membership-owning-type,9,11,1.2222222222222223,1.0,2.0,186.32563158197445,20.702847953552716,2,1.0,1.0,0.0,1.6224188790560472,0.6823416114611867,21.015911922966378
feature-crossing-specialization,2,5,2.5,2.5,3.7,113.44350300000224,56.72175150000112,1,1.0,1.0,0.0,0.7374631268436578,0.4154405488370395,20.49336372807294
internal-error,1,2,2.0,2.0,2.0,204.03372353999293,204.03372353999293,1,1.0,1.0,0.0,0.2949852507374631,0.7471902739879055,20.371649707565105
type-error,12,14,1.1666666666666667,1.0,1.9000000000000004,398.0926427940358,33.174386899502984,2,0.5,0.5,0.5,2.0648967551622417,1.4578518966426706,11.469803946573922
quantity-operator-expression,4,4,1.0,1.0,1.0,254.02342183198922,63.505855457997306,0,0.0,0.0,0.0,0.5899705014749262,0.930257149969552,0.5740623957283287
feature-value-overriding,4,4,1.0,1.0,1.0,58.77804700100387,14.694511750250967,0,0.0,0.0,0.0,0.5899705014749262,0.21525061779576632,0.35956043607619304
import-explicit-visibility,3,3,1.0,1.0,1.0,65.66469812399009,21.888232707996696,0,0.0,0.0,0.0,0.4424778761061947,0.24047016802582713,0.2933799884608455
attribute-usage-features,2,2,1.0,1.0,1.0,51.09265445897472,25.54632722948736,0,0.0,0.0,0.0,0.2949852507374631,0.187106002976453,0.20362442626166746
class-specialization,1,1,1.0,1.0,1.0,108.2716482909891,108.2716482909891,0,0.0,0.0,0.0,0.14749262536873156,0.39650074089741866,0.19269653495359138
part-usage-part-definition,2,2,1.0,1.0,1.0,18.582891290992848,9.291445645496424,0,0.0,0.0,0.0,0.2949852507374631,0.06805225819683088,0.16790830282778083
feature-owned-cross-subsetting,1,1,1.0,1.0,1.0,14.15566783399845,14.15566783399845,0,0.0,0.0,0.0,0.14749262536873156,0.05183935843475343,0.0892981202147918
cross-subsetting-crossing-feature,1,1,1.0,1.0,1.0,14.15566783399845,14.15566783399845,0,0.0,0.0,0.0,0.14749262536873156,0.05183935843475343,0.0892981202147918
subsetting-uniqueness-conformance,1,1,1.0,1.0,1.0,5.081358541996451,5.081358541996451,0,0.0,0.0,0.0,0.14749262536873156,0.018608402647128614,0.07932883347850436
