error_family,error_count,prompts_affected,iteration_rows_with_family,provider,model,scope
parsing-error,1666,245,353,ALL,ALL,all_iterations
reference-error,1224,141,191,ALL,ALL,all_iterations
port-definition-owned-usages-not-composite,97,29,35,ALL,ALL,all_iterations
type-error,52,11,14,ALL,ALL,all_iterations
feature-chaining-feature-not-one,35,15,19,ALL,ALL,all_iterations
feature-crossing-specialization,27,2,5,ALL,ALL,all_iterations
invocation-expression-instantiated-type,22,10,12,ALL,ALL,all_iterations
feature-reference-expression-referent-is-feature,19,8,9,ALL,ALL,all_iterations
parameter-membership-owning-type,19,9,11,ALL,ALL,all_iterations
feature-value-overriding,17,4,4,ALL,ALL,all_iterations
quantity-operator-expression,17,4,4,ALL,ALL,all_iterations
attribute-usage-features,8,2,2,ALL,ALL,all_iterations
connector-related-features,8,4,8,ALL,ALL,all_iterations
cross-subsetting-crossing-feature,6,1,1,ALL,ALL,all_iterations
feature-owned-cross-subsetting,4,1,1,ALL,ALL,all_iterations
internal-error,4,1,2,ALL,ALL,all_iterations
import-explicit-visibility,3,3,3,ALL,ALL,all_iterations
part-usage-part-definition,2,1,2,ALL,ALL,all_iterations
class-specialization,1,1,1,ALL,ALL,all_iterations
subsetting-uniqueness-conformance,1,1,1,ALL,ALL,all_iterations
parsing-error,1144,235,235,ALL,ALL,first_failed_iteration
reference-error,824,131,131,ALL,ALL,first_failed_iteration
port-definition-owned-usages-not-composite,82,29,29,ALL,ALL,first_failed_iteration
feature-chaining-feature-not-one,28,14,14,ALL,ALL,first_failed_iteration
type-error,26,7,7,ALL,ALL,first_failed_iteration
feature-reference-expression-referent-is-feature,18,8,8,ALL,ALL,first_failed_iteration
invocation-expression-instantiated-type,17,9,9,ALL,ALL,first_failed_iteration
feature-value-overriding,16,3,3,ALL,ALL,first_failed_iteration
quantity-operator-expression,13,3,3,ALL,ALL,first_failed_iteration
parameter-membership-owning-type,12,6,6,ALL,ALL,first_failed_iteration
attribute-usage-features,7,1,1,ALL,ALL,first_failed_iteration
cross-subsetting-crossing-feature,6,1,1,ALL,ALL,first_failed_iteration
feature-crossing-specialization,6,2,2,ALL,ALL,first_failed_iteration
